defender_id,season,total_def_epa,plays,def_epa_per_play,def_epa_per_play_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0000008,1999,-1.1750813827966342,47,-0.025001731548864557,0.0,1,1,2.0,45.0,233.0,77.0,,,,4.85,,,,,4.36,34.0,118.0,17.0,00-0000008,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0000585,1999,-43.90343168290565,76,-0.5776767326698111,0.0,1,1,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2000,-19.784304710809362,63,-0.3140365827112597,-0.5776767326698111,0,2,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2001,-10.886192999198101,61,-0.17846218031472297,-0.3140365827112597,0,3,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2002,-22.471871148311962,75,-0.2996249486441595,-0.17846218031472297,0,4,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2003,-23.467974450810352,70,-0.3352567778687193,-0.2996249486441595,0,5,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2004,-22.9800551510707,68,-0.3379419875157456,-0.3352567778687193,0,6,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2005,9.147334637062158,72,0.1270463144036411,-0.3379419875157456,0,7,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2006,-7.280280866904947,81,-0.08988001070253021,0.1270463144036411,0,8,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2007,-18.278363857006823,75,-0.2437115180934243,-0.08988001070253021,0,9,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2008,-11.322374326071294,35,-0.3234964093163227,-0.2437115180934243,0,10,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2009,-39.786224945792235,70,-0.5683746420827462,-0.3234964093163227,0,11,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2010,-18.10789906547991,48,-0.3772478971974981,-0.5683746420827462,0,12,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2011,-20.843192797763635,42,-0.49626649518484844,-0.3772478971974981,0,13,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0000585,2012,-26.58431077549016,66,-0.40279258750742664,-0.49626649518484844,0,14,1.0,7.0,192.0,72.0,,,,4.28,,,,,3.79,37.0,121.0,,00-0000585,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,1999,-11.285484911612002,22,-0.5129765868914546,0.0,1,1,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2000,-20.746136714921917,47,-0.4414071641472748,-0.5129765868914546,0,2,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2001,24.553347459906945,31,0.7920434664486111,-0.4414071641472748,0,3,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2002,-21.206097249907828,75,-0.2827479633321044,0.7920434664486111,0,4,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2003,21.54844468631472,61,0.35325319157892987,-0.2827479633321044,0,5,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2004,-3.980552501714556,44,-0.09046710231169446,0.35325319157892987,0,6,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2005,-7.487394775542685,47,-0.15930627182005713,-0.09046710231169446,0,7,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2006,4.94431414206267,60,0.08240523570104451,-0.15930627182005713,0,8,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2007,-14.225977751415368,46,-0.30926038590033406,0.08240523570104451,0,9,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2008,-26.66414416137573,53,-0.5030970596485987,-0.30926038590033406,0,10,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001388,2009,-4.473302864000784,35,-0.12780865325716526,-0.5030970596485987,0,11,2.0,41.0,188.0,70.0,,,,4.51,,,,,4.09,34.5,116.0,,00-0001388,db,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0004046,2000,5.730173508403823,21,0.2728654051620868,0.6051531299599446,0,2,2.0,48.0,306.0,76.0,,,,4.95,,,,,4.56,27.5,104.0,27.0,00-0004046,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0004046,2001,8.44444360608517,27,0.31275717059574704,0.2728654051620868,0,3,2.0,48.0,306.0,76.0,,,,4.95,,,,,4.56,27.5,104.0,27.0,00-0004046,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0004046,2002,3.23539796208678,27,0.11982955415136222,0.31275717059574704,0,4,2.0,48.0,306.0,76.0,,,,4.95,,,,,4.56,27.5,104.0,27.0,00-0004046,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0004046,2003,5.177370630786754,25,0.20709482523147016,0.11982955415136222,0,5,2.0,48.0,306.0,76.0,,,,4.95,,,,,4.56,27.5,104.0,27.0,00-0004046,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0004046,2004,7.38935462090767,38,0.19445670055020184,0.20709482523147016,0,6,2.0,48.0,306.0,76.0,,,,4.95,,,,,4.56,27.5,104.0,27.0,00-0004046,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0007929,2002,17.501941613716507,21,0.8334257911293574,0.23170030533443564,0,4,3.0,94.0,310.0,76.0,,,,4.98,,,,,4.73,31.5,111.0,17.0,00-0007929,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0007929,2003,20.98331204999704,25,0.8393324819998815,0.8334257911293574,0,5,3.0,94.0,310.0,76.0,,,,4.98,,,,,4.73,31.5,111.0,17.0,00-0007929,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0010840,2000,15.639282329393627,23,0.6799687969301577,0.20039992593228817,0,2,1.0,15.0,300.0,72.0,,,,4.85,,,,,4.28,28.5,120.0,25.0,00-0010840,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0010840,2001,6.657420444185845,23,0.2894530627906889,0.6799687969301577,0,3,1.0,15.0,300.0,72.0,,,,4.85,,,,,4.28,28.5,120.0,25.0,00-0010840,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0010840,2003,14.636914310896861,27,0.5421079374406245,0.6783365119890786,0,5,1.0,15.0,300.0,72.0,,,,4.85,,,,,4.28,28.5,120.0,25.0,00-0010840,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0012333,2000,0.21877758804475894,20,0.010938879402237946,0.15220084713204857,0,2,3.0,89.0,256.0,77.0,,,,4.74,,,,,4.2,36.5,118.0,17.0,00-0012333,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0012333,2002,12.502312370746084,28,0.44651115609807446,0.5533296441671586,0,4,3.0,89.0,256.0,77.0,,,,4.74,,,,,4.2,36.5,118.0,17.0,00-0012333,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
