pfr_id,gsis_id,position,position_group,def_pos_flag,off_pos_flag,draft_round,draft_pick
RobiAS00,00-0032889,dt,dl,1,0,2.0,46.0
BrowAJ00,00-0035676,wr,wr,0,1,2.0,51.0
CannA.00,00-0032255,g,ol,0,1,3.0,67.0
DerbA.00,00-0031609,te,te,0,1,6.0,202.0
GreeA.00,00-0027942,wr,wr,0,1,1.0,4.0
JenkA.00,00-0029654,wr,wr,0,1,1.0,30.0
McCaA.00,00-0031288,qb,qb,0,1,5.0,164.0
TerrAJ00,00-0036285,cb,db,1,0,1.0,16.0
ShipA.20,00-0026950,c,ol,0,1,7.0,226.0
BarnAJ00,00-0039793,te,te,0,1,4.0,121.0
PerrAT00,00-0038612,wr,wr,0,1,6.0,195.0
BankAa00,00-0036551,g,ol,0,1,2.0,48.0
BrooAa00,00-0001823,qb,qb,0,1,4.0,131.0
BurbAa00,00-0032441,wr,wr,0,1,6.0,213.0
ColvAa00,00-0031259,cb,db,1,0,4.0,114.0
DobsAa00,00-0030540,wr,wr,0,1,2.0,59.0
GibsAa20,00-0005927,ot,ol,0,1,1.0,27.0
JoneAa00,00-0033293,rb,rb,0,1,5.0,182.0
MellAa00,00-0029896,wr,wr,0,1,7.0,238.0
MurrAa00,00-0031287,qb,qb,0,1,5.0,163.0
RobiAa00,00-0036899,cb,db,1,0,3.0,71.0
RodgAa00,00-0023459,qb,qb,0,1,1.0,24.0
WalkAa00,00-0022060,te,te,0,1,5.0,161.0
SandAc00,00-0030550,wr,wr,0,1,4.0,101.0
BisnAd00,00-0033965,ot,ol,0,1,6.0,200.0
GettAd00,00-0029139,g,ol,0,1,5.0,141.0
JennAd00,00-0024398,wr,wr,0,1,6.0,184.0
KoetAd20,00-0025576,ot,ol,0,1,6.0,189.0
ShahAd00,00-0033896,te,te,0,1,2.0,45.0
SnydAd20,00-0023529,g,ol,0,1,3.0,94.0
TerrAd20,00-0023499,ot,ol,0,1,2.0,64.0
TrauAd00,00-0036422,te,te,0,1,3.0,105.0
WashAd00,00-0033037,dt,dl,1,0,3.0,80.0
MitcAd00,00-0039890,wr,wr,0,1,2.0,52.0
JackAd00,00-0033878,cb,db,1,0,1.0,18.0
MadiAd00,00-0021921,wr,wr,0,1,5.0,158.0
PeteAd01,00-0025394,rb,rb,0,1,1.0,7.0
