passer_player_id,season,passing_epa,qb_epa,dropbacks,epa_per_dropback,qb_epa_per_dropback,epa_per_dropback_prior,rookie_flag,qb_epa_per_dropback_prior,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0001823,2000,22.21161201110717,22.21161201110717,208.0,0.10678659620724601,0.10678659620724601,0.0,1,0.0,1,4.0,131.0,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001823,2001,-13.617455295140205,10.685958752206245,610.0,-0.022323697205147878,0.017517965167551223,0.10678659620724601,0,0.10678659620724601,2,4.0,131.0,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001823,2002,-8.407616622648618,9.373768723900016,568.0,-0.014802141941282779,0.016503113950528198,-0.022323697205147878,0,0.017517965167551223,3,4.0,131.0,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001823,2003,12.78477177312878,19.540968145456173,551.0,0.02320285258281085,0.035464551988123726,-0.014802141941282779,0,0.016503113950528198,4,4.0,131.0,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001823,2004,12.24002504446958,19.958825084082267,586.0,0.020887414751654572,0.03405942847113015,0.02320285258281085,0,0.035464551988123726,5,4.0,131.0,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001823,2005,-23.45377750269021,0.7790255584486281,460.0,-0.05098647283193524,0.0016935338227144089,0.020887414751654572,0,0.03405942847113015,6,4.0,131.0,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001823,2006,-56.864055322136586,-39.21965463599455,216.0,-0.263259515380262,-0.18157247516664143,-0.05098647283193524,0,0.0016935338227144089,7,4.0,131.0,220.0,76.0,,,,4.6,,,,,4.29,35.5,120.0,,00-0001823,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0003535,1999,-72.06610134820924,-72.06610134820924,449.0,-0.16050356647708072,-0.16050356647708072,0.0,1,0.0,1,1.0,1.0,220.0,76.0,,,,5.08,,,,,4.34,31.0,,,00-0003535,qb,0,0,1,1,1,0,1,1,1,1,0,0,1,1
00-0003535,2000,-8.421343219766609,0.16818614361367112,221.0,-0.03810562542880819,0.0007610232742700051,-0.16050356647708072,0,-0.16050356647708072,2,1.0,1.0,220.0,76.0,,,,5.08,,,,,4.34,31.0,,,00-0003535,qb,0,0,1,1,1,0,1,1,1,1,0,0,1,1
00-0003535,2001,-66.65494859004372,-59.11234951206695,505.0,-0.13198999720800736,-0.11705415744963753,-0.03810562542880819,0,0.0007610232742700051,3,1.0,1.0,220.0,76.0,,,,5.08,,,,,4.34,31.0,,,00-0003535,qb,0,0,1,1,1,0,1,1,1,1,0,0,1,1
