rusher_player_id,season,rushing_epa,rush_attempts,epa_per_rush,epa_per_rush_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0003136,1999,-2.159326778782997,35.0,-0.06169505082237134,0.0,1,1,2.0,54.0,205.0,70.0,,,,4.56,,,,,4.16,38.5,117.0,17.0,00-0003136,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0003136,2000,-4.392262056237087,22.0,-0.19964827528350393,-0.06169505082237134,0,2,2.0,54.0,205.0,70.0,,,,4.56,,,,,4.16,38.5,117.0,17.0,00-0003136,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0003136,2002,-10.310706547733002,49.0,-0.21042258260679594,0.5678916479394372,0,4,2.0,54.0,205.0,70.0,,,,4.56,,,,,4.16,38.5,117.0,17.0,00-0003136,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0003136,2003,2.838741810439388,27.0,0.10513858557182917,-0.21042258260679594,0,5,2.0,54.0,205.0,70.0,,,,4.56,,,,,4.16,38.5,117.0,17.0,00-0003136,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0003136,2004,6.060002471407643,21.0,0.2885715462575068,0.10513858557182917,0,6,2.0,54.0,205.0,70.0,,,,4.56,,,,,4.16,38.5,117.0,17.0,00-0003136,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0003136,2005,-9.141411329444963,24.0,-0.3808921387268735,0.2885715462575068,0,7,2.0,54.0,205.0,70.0,,,,4.56,,,,,4.16,38.5,117.0,17.0,00-0003136,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0003271,1999,-33.46318697415675,132.0,-0.25350899222846024,0.0,1,1,5.0,134.0,207.0,70.0,,,,4.51,,,,,,33.0,117.0,17.0,00-0003271,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,0
00-0004200,1999,-4.537320409086533,28.0,-0.16204715746737616,0.0,1,1,7.0,233.0,203.0,70.0,,,,4.67,,,,,4.15,31.0,116.0,20.0,00-0004200,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0004200,2000,-5.416924279769591,30.0,-0.18056414265898638,-0.16204715746737616,0,2,7.0,233.0,203.0,70.0,,,,4.67,,,,,4.15,31.0,116.0,20.0,00-0004200,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0005091,1999,-19.213721479871307,67.0,-0.2867719623861389,0.0,1,1,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2000,-28.714734697195418,166.0,-0.17298032950117723,-0.2867719623861389,0,2,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2001,-0.6030948165799312,41.0,-0.01470962967268125,-0.17298032950117723,0,3,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2002,4.083305880311256,53.0,0.07704350717568408,-0.01470962967268125,0,4,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2003,-33.428609878621955,178.0,-0.18780117909338176,0.07704350717568408,0,5,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2004,5.7251206584745695,54.0,0.10602075293471425,-0.18780117909338176,0,6,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2005,-16.375346775373487,51.0,-0.3210852308896762,0.10602075293471425,0,7,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2006,-1.0152621239540165,25.0,-0.04061048495816066,-0.3210852308896762,0,8,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2007,-2.1930932013783604,63.0,-0.034811003196481914,-0.04061048495816066,0,9,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2008,16.260652404858263,84.0,0.1935791952959317,-0.034811003196481914,0,10,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005091,2009,3.840625631042222,62.0,0.06194557469422939,0.1935791952959317,0,11,2.0,46.0,202.0,68.0,,,,4.57,,,,,4.09,34.0,114.0,,00-0005091,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0005816,1999,-12.421103723230098,277.0,-0.04484152968675126,0.0,1,1,4.0,127.0,218.0,71.0,,,,4.71,,1.6,,7.15,4.13,34.0,116.0,22.0,00-0005816,rb,0,0,1,1,1,0,1,0,1,0,0,0,0,0
00-0005816,2001,3.196216113516131,57.0,0.056073966903791767,0.02099630683682128,0,3,4.0,127.0,218.0,71.0,,,,4.71,,1.6,,7.15,4.13,34.0,116.0,22.0,00-0005816,rb,0,0,1,1,1,0,1,0,1,0,0,0,0,0
00-0005816,2002,-4.76087006919092,37.0,-0.12867216403218704,0.056073966903791767,0,4,4.0,127.0,218.0,71.0,,,,4.71,,1.6,,7.15,4.13,34.0,116.0,22.0,00-0005816,rb,0,0,1,1,1,0,1,0,1,0,0,0,0,0
00-0005816,2003,-20.649617956398288,113.0,-0.1827399819150291,-0.12867216403218704,0,5,4.0,127.0,218.0,71.0,,,,4.71,,1.6,,7.15,4.13,34.0,116.0,22.0,00-0005816,rb,0,0,1,1,1,0,1,0,1,0,0,0,0,0
00-0008046,1999,-4.8221965543634715,36.0,-0.1339499042878742,0.0,1,1,4.0,103.0,226.0,71.0,,,,4.58,,,,,,35.0,117.0,20.0,00-0008046,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,0
00-0008241,1999,-26.511749391180803,370.0,-0.07165337673292109,0.0,1,1,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2000,-6.415331241755585,389.0,-0.01649185409191667,-0.07165337673292109,0,2,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2001,-0.46205654444165456,152.0,-0.0030398456871161485,-0.01649185409191667,0,3,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2002,-31.717725257542988,278.0,-0.11409253689763664,-0.0030398456871161485,0,4,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2003,-8.57008310005767,309.0,-0.027734896763940677,-0.11409253689763664,0,5,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2004,10.423602937904318,335.0,0.031115232650460654,-0.027734896763940677,0,6,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2005,14.228470363903723,360.0,0.039523528788621455,0.031115232650460654,0,7,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2006,-43.833775591144864,337.0,-0.1300705507155634,0.039523528788621455,0,8,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2007,-15.21619645502501,324.0,-0.046963569305632745,-0.1300705507155634,0,9,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2008,-13.101642784278505,134.0,-0.0977734536140187,-0.046963569305632745,0,10,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008241,2009,-3.5905857585603376,46.0,-0.07805621214261603,-0.0977734536140187,0,11,1.0,4.0,219.0,72.0,,,,4.38,,,,,3.88,,,,00-0008241,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0008529,1999,-24.607935524380707,164.0,-0.1500483873437848,0.0,1,1,2.0,39.0,240.0,73.0,,,,4.71,,,,,4.19,,,16.0,00-0008529,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,0
00-0008529,2000,-3.3382719109585377,50.0,-0.06676543821917075,-0.1500483873437848,0,2,2.0,39.0,240.0,73.0,,,,4.71,,,,,4.19,,,16.0,00-0008529,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,0
00-0011506,1999,-22.511564266678644,116.0,-0.19406520919550554,0.0,1,1,2.0,49.0,230.0,70.0,,,,4.63,,,,,4.22,,,,00-0011506,rb,0,0,1,1,1,0,1,1,1,1,0,1,1,1
00-0012556,1999,4.465743104286958,36.0,0.12404841956352662,0.0,1,1,5.0,159.0,185.0,70.0,,,,4.49,,,,,4.16,41.5,120.0,13.0,00-0012556,rb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0017915,1999,-56.93465342602576,253.0,-0.22503815583409392,0.0,1,1,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2000,-19.939725200991628,248.0,-0.08040211774593399,-0.22503815583409392,0,2,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2001,-49.95837386030321,314.0,-0.1591031014659338,-0.08040211774593399,0,3,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2002,-12.885593906520917,383.0,-0.03364384831989795,-0.1591031014659338,0,4,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2003,-58.54449877790035,392.0,-0.14934821116811314,-0.03364384831989795,0,5,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2005,-1.859992210584206,168.0,-0.011071382205858368,-0.14934821116811314,0,6,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2008,-17.532380314417843,161.0,-0.10889677213924126,-0.49625955483255285,0,8,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2009,7.9902943567204545,242.0,0.033017745275704356,-0.10889677213924126,0,9,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2010,-14.59078730734066,159.0,-0.0917659579078029,0.033017745275704356,0,10,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0017915,2011,-11.81121039166351,108.0,-0.10936305918206954,-0.0917659579078029,0,11,1.0,5.0,230.0,70.0,,,,4.56,,,,,,37.0,124.0,,00-0017915,rb,0,0,1,1,1,0,1,1,1,1,1,0,0,1
