receiver_player_id,season,receiving_epa,targets,epa_per_target,epa_per_target_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0000869,2002,43.65377286050806,80,0.5456721607563508,0.5647209370078514,0,4,3.0,71.0,215.0,74.0,,,,4.59,,,,,4.24,37.0,117.0,,00-0000869,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001532,1999,1.1724585251171233,81,0.01447479660638424,0.0,1,1,1.0,8.0,228.0,74.0,,,,4.47,,,,,4.09,37.0,116.0,,00-0001532,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001532,2000,39.97340775209334,135,0.2960993166821729,0.01447479660638424,0,2,1.0,8.0,228.0,74.0,,,,4.47,,,,,4.09,37.0,116.0,,00-0001532,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001532,2001,65.6958189226314,175,0.37540467955789375,0.2960993166821729,0,3,1.0,8.0,228.0,74.0,,,,4.47,,,,,4.09,37.0,116.0,,00-0001532,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001532,2002,6.162738262389747,75,0.08216984349852996,0.37540467955789375,0,4,1.0,8.0,228.0,74.0,,,,4.47,,,,,4.09,37.0,116.0,,00-0001532,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0001532,2003,70.26278376636049,71,0.9896166727656406,0.08216984349852996,0,5,1.0,8.0,228.0,74.0,,,,4.47,,,,,4.09,37.0,116.0,,00-0001532,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0002005,1999,-1.989420340027232,36,-0.05526167611186755,0.0,1,1,4.0,130.0,196.0,72.0,,,,4.56,,,,,,40.5,110.0,,00-0002005,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0002565,2001,-3.078096679559592,25,-0.12312386718238369,-0.32815263894064206,0,3,3.0,79.0,265.0,77.0,,,,4.85,,,,,4.07,36.0,121.0,25.0,00-0002565,te,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0002565,2002,6.851559607050149,31,0.22101805184032738,-0.12312386718238369,0,4,3.0,79.0,265.0,77.0,,,,4.85,,,,,4.07,36.0,121.0,25.0,00-0002565,te,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0002565,2003,10.411322724015918,20,0.5205661362007958,0.22101805184032738,0,5,3.0,79.0,265.0,77.0,,,,4.85,,,,,4.07,36.0,121.0,25.0,00-0002565,te,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0002565,2006,24.19756361476183,21,1.1522649340362776,0.554799762347131,0,8,3.0,79.0,265.0,77.0,,,,4.85,,,,,4.07,36.0,121.0,25.0,00-0002565,te,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0002942,1999,16.2523853058456,76,0.21384717507691578,0.0,1,1,5.0,148.0,210.0,74.0,,,,4.53,,,,,4.16,33.0,112.0,,00-0002942,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0002942,2000,-16.97258572051253,22,-0.771481169114206,0.21384717507691578,0,2,5.0,148.0,210.0,74.0,,,,4.53,,,,,4.16,33.0,112.0,,00-0002942,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0002942,2001,-16.693141480253104,32,-0.5216606712579095,-0.771481169114206,0,3,5.0,148.0,210.0,74.0,,,,4.53,,,,,4.16,33.0,112.0,,00-0002942,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
