name,position,height_in,weight,sprint_speed,avg_hit_speed,brl_percent,WAR,wRC+,wOBA,BB%,K%,Hard%,WAR_z
Bobby Witt Jr.,SS,73,200,30.5,92.7,14.3,10.5,169.0,0.41,0.08,0.15,0.353,3.196394799093938
Johan Rojas,CF,71,165,30.1,85.7,2.5,1.1,66.0,0.265,0.036,0.19,0.231,-0.23230368765783457
Elly De La Cruz,SS,78,200,30.0,91.8,12.7,6.6,119.0,0.349,0.099,0.313,0.37,1.673566936002877
Tyler Fitzgerald,2B,74,214,30.0,87.7,8.2,3.0,132.0,0.357,0.065,0.317,0.237,0.977055274922428
Pete Crow-Armstrong,CF,72,184,30.0,88.9,7.4,2.6,86.0,0.289,0.051,0.239,0.253,0.7859105277255319
Victor Scott II,CF,70,190,30.0,88.4,5.7,-0.4,40.0,0.221,0.039,0.271,0.305,-1.250517903041201
Jorge Mateo,SS,72,200,29.9,88.1,4.0,0.8,87.0,0.286,0.048,0.231,0.309,-0.5911514244915209
Jose Siri,OF,74,210,29.9,87.5,14.7,1.8,78.0,0.271,0.069,0.379,0.353,1.6614438915550218
Garrett Hampson,2B,70,196,29.8,86.0,4.4,0.5,60.0,0.255,0.061,0.255,0.266,-0.7036590741413816
Jeremy Peña,SS,72,202,29.8,88.2,5.4,2.7,99.0,0.305,0.038,0.171,0.266,0.1507390729118164
Jonny DeLuca,CF,70,195,29.8,84.6,3.9,0.8,77.0,0.269,0.066,0.213,0.268,-0.4359465307345079
Wyatt Langford,LF,72,225,29.8,89.6,9.3,3.1,111.0,0.321,0.092,0.206,0.349,1.0184711403864346
Jake McCarthy,CF,72,215,29.8,84.5,2.7,3.0,110.0,0.329,0.063,0.158,0.1989999999999999,1.0574343184944297
Evan Carter,CF,74,190,29.7,86.0,5.9,0.1,81.0,0.278,0.093,0.265,0.314,-0.911113164580079
Jacob Young,CF,71,192,29.7,85.8,1.6,2.7,84.0,0.29,0.0579999999999999,0.196,0.205,0.8537914754177565
Jackson Chourio,CF,73,199,29.7,89.7,7.8,3.9,118.0,0.339,0.068,0.211,0.359,1.6683628477244494
Byron Buxton,CF,73,190,29.7,91.7,13.2,3.7,140.0,0.366,0.052,0.255,0.372,1.5326009523400008
Dairon Blanco,CF,72,200,29.6,89.0,7.8,0.5,96.0,0.306,0.061,0.242,0.344,-0.6395893738111812
Blake Perkins,CF,72,185,29.6,88.8,3.9,1.6,84.0,0.288,0.0969999999999999,0.249,0.281,0.1071010508032876
Jarren Duran,LF,72,205,29.6,90.8,9.3,6.8,131.0,0.357,0.073,0.218,0.34,3.095213395583222
Trea Turner,SS,73,185,29.6,89.1,6.9,3.9,123.0,0.349,0.05,0.182,0.3379999999999999,0.6193014923244503
Julio Rodríguez,CF,76,228,29.6,91.7,10.2,3.9,116.0,0.321,0.062,0.254,0.366,1.6683628477244494
Corbin Carroll,RF,70,165,29.6,89.3,7.2,4.3,107.0,0.325,0.107,0.19,0.331,1.3553085680353008
Garrett Mitchell,CF,74,229,29.5,88.8,8.7,1.9,127.0,0.351,0.1119999999999999,0.317,0.291,0.31074389387996076
Derek Hill,CF,72,206,29.5,88.3,11.0,0.2,89.0,0.296,0.0289999999999999,0.326,0.312,-0.8432322168878545
David Hamilton,2B,70,192,29.4,87.0,5.6,1.6,94.0,0.305,0.069,0.252,0.252,0.035855239446694685
Brice Turang,2B,72,190,29.3,87.0,2.4,2.6,88.0,0.294,0.081,0.17,0.26,0.7081409790722185
Sal Frelick,RF,69,191,29.3,83.4,0.8,1.5,87.0,0.292,0.074,0.149,0.183,0.07253764166949472
Brenton Doyle,CF,75,220,29.3,89.2,10.5,3.6,97.0,0.328,0.076,0.254,0.367,1.4647200046477764
Lane Thomas,CF,71,195,29.3,88.8,7.4,1.4,99.0,0.309,0.083,0.259,0.335,-0.028660844581161388
Parker Meadows,CF,77,205,29.3,87.0,7.7,2.2,110.0,0.321,0.084,0.255,0.286,0.5143867369566343
Nick Gonzales,2B,68,193,29.2,87.9,7.9,1.3,94.0,0.307,0.047,0.191,0.307,-0.1658304824409625
Edmundo Sosa,2B,71,210,29.2,89.2,8.6,1.9,102.0,0.318,0.047,0.241,0.371,0.23754096133435174
Oliver Dunn,3B,70,207,29.1,89.1,5.4,0.1,69.0,0.266,0.0579999999999999,0.385,0.3389999999999999,-0.6448215517021803
Stuart Fairchild,RF,71,205,29.1,85.5,7.9,0.3,79.0,0.288,0.073,0.258,0.309,-0.47722132677299356
Bryson Stott,2B,72,200,29.1,87.0,3.6,1.8,87.0,0.296,0.093,0.163,0.28,0.17031238737179943
Amed Rosario,3B,73,227,29.0,86.9,4.6,0.2,96.0,0.299,0.026,0.211,0.25,-0.5859874685176749
Jordan Westburg,3B,73,210,29.0,91.1,11.8,2.7,124.0,0.34,0.049,0.217,0.411,0.8848646110949626
Whit Merrifield,2B,73,195,29.0,84.1,2.4,0.5,79.0,0.283,0.104,0.155,0.233,-0.7036590741413816
Tyrone Taylor,CF,72,218,28.9,87.3,7.1,1.0,97.0,0.304,0.055,0.2319999999999999,0.311,-0.30018463535005907
Luke Raley,RF,75,235,28.9,90.1,11.0,2.3,129.0,0.339,0.059,0.297,0.322,0.43904362063115354
Romy Gonzalez,1B,72,215,28.9,92.3,8.3,0.2,98.0,0.311,0.0559999999999999,0.2689999999999999,0.428,-0.4731848267578478
Mike Trout,RF,73,235,28.9,89.2,17.1,0.9,140.0,0.365,0.127,0.214,0.341,-0.20234184255174942
Jake Meyers,CF,72,200,28.9,88.2,6.8,1.9,85.0,0.285,0.068,0.228,0.299,0.31074389387996076
Andrés Giménez,2B,71,161,28.9,86.3,2.8,2.7,83.0,0.281,0.0409999999999999,0.153,0.24,0.775369553034771
Gunnar Henderson,SS,75,220,28.9,92.8,11.2,7.9,154.0,0.381,0.108,0.221,0.434,2.1811762236998975
Oneil Cruz,CF,79,248,28.8,95.5,15.7,3.6,110.0,0.331,0.085,0.302,0.415,1.4647200046477764
Luis Robert Jr.,CF,74,225,28.8,90.1,9.9,0.6,84.0,0.285,0.066,0.332,0.303,-0.5717084261189568
Sam Hilliard,LF,77,236,28.8,94.6,14.8,0.7,106.0,0.342,0.089,0.354,0.409,-0.3286049170385088
Will Benson,LF,76,230,28.8,89.4,11.5,-0.6,76.0,0.285,0.103,0.397,0.3389999999999999,-1.0582711148103532
Ezequiel Duran,SS,70,185,28.8,87.1,3.4,0.2,75.0,0.27,0.049,0.221,0.262,-0.8254326341978379
Matt Vierling,CF,73,205,28.8,89.8,7.5,2.3,107.0,0.317,0.072,0.213,0.2789999999999999,0.5822676846488585
James Outman,CF,74,215,28.8,87.6,4.9,-0.3,53.0,0.242,0.103,0.353,0.395,-1.1826369553489768
Masyn Winn,SS,69,185,28.8,87.0,3.7,3.6,104.0,0.315,0.064,0.171,0.263,0.502160887471292
Ceddanne Rafaela,CF,70,165,28.8,86.6,7.5,1.0,81.0,0.286,0.026,0.264,0.254,-0.30018463535005907
Jo Adell,CF,74,215,28.8,89.8,11.7,0.1,91.0,0.296,0.078,0.2789999999999999,0.316,-0.911113164580079
