Model,Feature,Coefficient,Abs_Coefficient
Baseline - Linear,avg_hit_speed,0.32408060599650773,0.32408060599650773
Baseline - Linear,brl_percent,0.2191956902955466,0.2191956902955466
Baseline - Linear,height_in,-0.1343401374696149,0.1343401374696149
Baseline - Linear,sprint_speed,0.13102011002621491,0.13102011002621491
Baseline - Linear,weight,-0.017358525993866253,0.017358525993866253
Baseline - Ridge,avg_hit_speed,0.32283258281834504,0.32283258281834504
Baseline - Ridge,brl_percent,0.21926423174867918,0.21926423174867918
Baseline - Ridge,height_in,-0.13344502450902518,0.13344502450902518
Baseline - Ridge,sprint_speed,0.13051647883550407,0.13051647883550407
Baseline - Ridge,weight,-0.017617321143909095,0.017617321143909095
Expanded - Linear,brl_percent,0.4824466015135844,0.4824466015135844
Expanded - Linear,K%,-0.475421658488123,0.475421658488123
Expanded - Linear,sprint_speed,0.23833669914528102,0.23833669914528102
Expanded - Linear,BB%,0.2172003187975072,0.2172003187975072
Expanded - Linear,avg_hit_speed,0.1410217064283931,0.1410217064283931
Expanded - Linear,height_in,-0.07756613226928262,0.07756613226928262
Expanded - Linear,weight,0.005103701087615653,0.005103701087615653
Expanded - Linear,Hard%,0.0022272560858594345,0.0022272560858594345
Expanded - Ridge,brl_percent,0.4762170032650817,0.4762170032650817
Expanded - Ridge,K%,-0.47210674444800194,0.47210674444800194
Expanded - Ridge,sprint_speed,0.23698600221689348,0.23698600221689348
Expanded - Ridge,BB%,0.21686006356627693,0.21686006356627693
Expanded - Ridge,avg_hit_speed,0.14202934810349066,0.14202934810349066
Expanded - Ridge,height_in,-0.07721585259775769,0.07721585259775769
Expanded - Ridge,Hard%,0.005393585149975906,0.005393585149975906
Expanded - Ridge,weight,0.0049198778870692015,0.0049198778870692015
