player_name,pfr_id,position,weight_lbs,height_in,arm_length_in,hand_size_in,yard_40_dash_sec,yard_10_split_sec,cone_drill_sec,yard_20_shuttle_sec,vertical_jump_in,broad_jump_in,bench_press_reps
a'shawn robinson,RobiAS00,dt,307.0,72.0,34.5,10.5,5.2,1.78,7.8,4.74,26.0,106.0,22.0
a.j. cann,CannA.00,g,313.0,72.0,32.625,10.25,,,,,,,26.0
a.j. derby,DerbA.00,te,255.0,72.0,30.5,9.5,,,,,,,15.0
a.j. green,GreeA.00,wr,211.0,72.0,34.375,9.25,4.48,1.55,6.91,4.21,34.5,126.0,18.0
a.j. jenkins,JenkA.00,wr,190.0,72.0,32.75,9.5,4.39,,6.73,4.12,38.0,124.0,12.0
a.j. mccarron,McCaA.00,qb,220.0,72.0,31.5,10.0,4.94,1.75,7.18,4.34,28.0,99.0,
a.j. terrell,TerrAJ00,cb,195.0,72.0,31.25,9.0,4.42,,,,34.5,129.0,15.0
a.q. shipley,ShipA.20,c,304.0,72.0,,,5.19,,,4.4,31.0,100.0,33.0
at perry,PerrAT00,wr,198.0,72.0,33.25,9.25,4.47,1.59,,,35.0,133.0,
aaron banks,BankAa00,g,325.0,72.0,33.125,10.125,5.34,1.91,7.73,4.92,31.0,100.0,24.0
aaron brooks,BrooAa00,qb,203.0,72.0,,,4.6,,,4.29,35.5,120.0,
aaron burbridge,BurbAa00,wr,206.0,72.0,31.625,8.25,4.56,1.63,7.22,4.31,30.5,115.0,20.0
aaron colvin,ColvAa00,cb,177.0,60.0,31.0,9.25,,,,,,,
aaron dobson,DobsAa00,wr,210.0,72.0,33.0,9.0,4.37,1.51,7.19,4.33,35.0,121.0,16.0
aaron gibson,GibsAa20,ot,386.0,72.0,,,5.35,,,4.54,24.0,111.0,31.0
aaron jones,JoneAa00,rb,208.0,60.0,32.5,9.5,4.56,,6.82,4.2,37.5,127.0,16.0
aaron mellette,MellAa00,wr,217.0,72.0,33.125,9.625,4.54,1.56,7.11,4.41,33.5,123.0,9.0
aaron murray,MurrAa00,qb,207.0,72.0,30.625,9.125,,,,,,,
aaron robinson,RobiAa00,cb,186.0,60.0,30.25,8.75,4.39,1.58,6.9,4.31,37.0,123.0,15.0
aaron rodgers,RodgAa00,qb,223.0,72.0,,9.375,4.71,,7.39,4.32,34.5,110.0,
aaron walker,WalkAa00,te,252.0,72.0,,,4.72,,,4.3,33.5,115.0,24.0
ace sanders,SandAc00,wr,173.0,60.0,29.5,8.875,4.58,1.55,6.81,4.37,32.0,117.0,7.0
adam bisnowaty,BisnAd00,ot,304.0,72.0,33.875,11.375,5.23,,8.02,4.94,29.5,96.0,23.0
adam gettis,GettAd00,g,293.0,72.0,33.125,9.5,5.0,,7.99,4.65,31.0,112.0,
adam jennings,JennAd00,wr,181.0,60.0,,,4.44,,,4.16,37.5,118.0,
adam koets,KoetAd20,ot,298.0,72.0,,,5.08,,,4.47,32.0,106.0,20.0
adam shaheen,ShahAd00,te,278.0,72.0,33.5,9.625,4.79,,7.09,4.38,32.5,121.0,24.0
adam snyder,SnydAd20,g,316.0,72.0,,,5.34,,,4.86,28.5,93.0,21.0
adam terry,TerrAd20,ot,330.0,72.0,,,5.4,,,4.79,28.0,96.0,
adam trautman,TrauAd00,te,255.0,72.0,32.625,9.5,4.8,,6.78,4.27,34.5,114.0,18.0
adolphus washington,WashAd00,dt,301.0,72.0,34.5,9.875,5.17,1.79,8.06,4.79,27.0,99.0,21.0
adoree' jackson,JackAd00,cb,186.0,60.0,31.375,9.25,4.42,,,,36.0,122.0,
adrian madise,MadiAd00,wr,215.0,72.0,,,4.49,,,4.26,32.0,119.0,
adrian peterson,PeteAd01,rb,217.0,72.0,32.25,9.5,4.4,1.53,7.09,4.4,38.5,127.0,
adrian peterson,PeteAd00,rb,214.0,60.0,,,4.68,,,4.6,34.0,119.0,14.0
adrien clarke,ClarAd20,g,329.0,72.0,,,5.52,,,4.79,26.0,102.0,
adrien robinson,RobiAd00,te,264.0,72.0,,,4.56,1.61,7.1,4.43,39.5,135.0,15.0
ahkello witherspoon,WithAh00,cb,198.0,72.0,33.0,9.875,4.45,,6.93,4.13,40.5,127.0,
ahmad bradshaw,BradAh00,rb,198.0,60.0,,,4.55,,,4.09,34.0,112.0,
aidan o'connell,OConAi00,qb,213.0,72.0,32.25,9.75,,,,,,,
airese currie,CurrAi00,wr,186.0,60.0,,,4.49,,,4.07,38.0,125.0,
aj dillon,DillAJ00,rb,247.0,72.0,31.625,9.625,4.53,,7.19,,41.0,131.0,23.0
akayleb evans,EvanAk00,cb,197.0,72.0,32.0,8.75,4.46,1.53,,,36.0,129.0,
akeem ayers,DentAk00,olb,254.0,72.0,33.0,9.0,4.81,,,4.28,31.0,116.0,18.0
akeem davis-gaither,DaviAk01,lb,224.0,72.0,31.125,9.5,,,,,,,21.0
akeem spence,SpenAk00,dt,307.0,72.0,33.5,10.0,5.15,1.67,7.82,4.72,30.0,107.0,37.0
akili smith,SmitAk00,qb,227.0,72.0,,,4.66,,,4.29,34.0,114.0,
al woods,WoodAl99,dt,309.0,72.0,36.0,11.0,5.15,,,4.67,37.0,109.0,
alan bonner,BonnAl00,wr,193.0,60.0,30.25,9.375,4.59,1.63,,4.15,33.0,117.0,14.0
alan harper,HarpAl20,dt,295.0,72.0,,,5.27,,,4.64,30.5,104.0,
albert okwuegbunam,OkwuAl00,te,258.0,72.0,34.125,10.25,4.49,,,,,,
aldrick robinson,RobiAl00,wr,184.0,60.0,29.5,8.75,4.35,,6.65,4.09,40.0,126.0,17.0
alec pierce,PierAl00,wr,211.0,72.0,33.0,9.0,4.41,1.58,7.13,4.28,40.5,129.0,
alex bannister,BannAl00,wr,201.0,72.0,,,4.47,,,,30.5,110.0,
alex barron,BarrAl20,ot,318.0,72.0,,,5.27,,,4.57,35.5,,
alex brink,BrinAl00,qb,211.0,72.0,,,4.96,,,4.19,28.0,112.0,
alex carter,CartAl01,cb,196.0,72.0,32.125,9.125,4.51,1.6,7.05,4.07,40.0,121.0,17.0
alex collins,CollAl00,rb,217.0,60.0,30.25,9.25,4.59,1.62,,,28.5,113.0,18.0
alex forsyth,ForsAl00,c,303.0,72.0,32.75,10.25,,,,,20.5,95.0,29.0
alex green,GreeAl00,rb,225.0,72.0,32.0,9.125,4.45,,,4.15,34.0,114.0,20.0
alex leatherwood,LeatAl00,ot,312.0,72.0,33.875,9.5,5.01,1.78,7.45,4.65,34.5,118.0,
alex lewis,LewiAl20,olb,228.0,72.0,,,4.78,,,4.31,34.5,121.0,25.0
alex smith,SmitAl03,qb,217.0,72.0,,,4.71,,,3.97,32.0,113.0,
