feature,coefficient,position,feature_set
def_epa_per_play_prior,0.2478793282523965,def,baseline
rookie_flag,-0.049425937760013305,def,baseline
season,-0.02661465098809754,def,baseline
draft_pick,-0.02101929305202676,def,baseline
draft_round,0.005782891457989655,def,baseline
years_experience,0.0031985418938423014,def,baseline
weight_lbs,0.18390028844828685,def,baseline+anthro
def_epa_per_play_prior,0.09879910000386619,def,baseline+anthro
bench_press_reps,0.03288503479403061,def,baseline+anthro
yard_20_shuttle_sec,0.029752064764787943,def,baseline+anthro
missing_cone_drill_sec,-0.02506258922848054,def,baseline+anthro
rookie_flag,-0.024220360389911537,def,baseline+anthro
draft_round,-0.02032283136698472,def,baseline+anthro
missing_yard_10_split_sec,-0.020233893074492,def,baseline+anthro
wing_span_in,-0.018334184097931038,def,baseline+anthro
season,-0.01782428789193544,def,baseline+anthro
cone_drill_sec,-0.01467326737456788,def,baseline+anthro
missing_yard_40_dash_sec,0.014402300853924067,def,baseline+anthro
missing_yard_20_split_sec,0.014006509689152284,def,baseline+anthro
missing_yard_60_shuttle_sec,0.013408068641310162,def,baseline+anthro
yard_20_split_sec,0.013276552227115889,def,baseline+anthro
height_in,0.01153201999300537,def,baseline+anthro
missing_vert_jump_in,0.010073213210823669,def,baseline+anthro
missing_wing_span_in,0.009612763202084753,def,baseline+anthro
missing_arm_length_in,0.008845656550099796,def,baseline+anthro
missing_hand_size_in,0.008845656550099796,def,baseline+anthro
vert_jump_in,0.008503478976994829,def,baseline+anthro
years_experience,0.007964042628236495,def,baseline+anthro
missing_bench_press_reps,0.00786288828249513,def,baseline+anthro
hand_size_in,0.00723424983094075,def,baseline+anthro
yard_40_dash_sec,-0.005165586231617932,def,baseline+anthro
broad_jump_in,-0.0038327197035214044,def,baseline+anthro
yard_60_shuttle_sec,0.0037604020351536,def,baseline+anthro
missing_broad_jump_in,-0.0031129302286147884,def,baseline+anthro
missing_yard_20_shuttle_sec,0.002802318853477639,def,baseline+anthro
draft_pick,-0.002311562820389782,def,baseline+anthro
arm_length_in,0.0018831604387380572,def,baseline+anthro
yard_10_split_sec,-0.00029076207500905275,def,baseline+anthro
missing_weight_lbs,0.0,def,baseline+anthro
missing_height_in,0.0,def,baseline+anthro
rookie_flag,-0.03482979415203846,qb,baseline
years_experience,0.033435781779441606,qb,baseline
qb_epa_per_dropback_prior,0.02599744289337132,qb,baseline
draft_round,-0.01810309413759497,qb,baseline
epa_per_dropback_prior,0.01609605295621231,qb,baseline
draft_pick,-0.013098186748165156,qb,baseline
season,0.006006500134936248,qb,baseline
rookie_flag,-0.03456550350315738,qb,baseline+anthro
years_experience,0.03280862798830602,qb,baseline+anthro
missing_cone_drill_sec,-0.024684100470968105,qb,baseline+anthro
qb_epa_per_dropback_prior,0.021488181266077874,qb,baseline+anthro
draft_round,-0.015838923226617042,qb,baseline+anthro
epa_per_dropback_prior,0.015567167082190563,qb,baseline+anthro
missing_broad_jump_in,0.014152251190564426,qb,baseline+anthro
draft_pick,-0.012136607388061656,qb,baseline+anthro
yard_10_split_sec,-0.010837919135568825,qb,baseline+anthro
missing_yard_20_split_sec,0.010025815544077155,qb,baseline+anthro
missing_yard_10_split_sec,0.008332151940171534,qb,baseline+anthro
missing_hand_size_in,-0.008065399383344088,qb,baseline+anthro
vert_jump_in,-0.007531661184220524,qb,baseline+anthro
yard_20_split_sec,0.007509073247939164,qb,baseline+anthro
missing_bench_press_reps,0.007361400284371165,qb,baseline+anthro
height_in,-0.005702971410977371,qb,baseline+anthro
hand_size_in,0.005661172464666546,qb,baseline+anthro
yard_20_shuttle_sec,0.005483390663984743,qb,baseline+anthro
weight_lbs,0.005154196360298888,qb,baseline+anthro
missing_vert_jump_in,0.005148855303956186,qb,baseline+anthro
season,-0.005132520316980749,qb,baseline+anthro
missing_yard_20_shuttle_sec,-0.005128703913976565,qb,baseline+anthro
missing_yard_40_dash_sec,0.004683760313451848,qb,baseline+anthro
bench_press_reps,-0.004600928071627754,qb,baseline+anthro
broad_jump_in,-0.0034358798201042443,qb,baseline+anthro
missing_wing_span_in,-0.003328200276861164,qb,baseline+anthro
wing_span_in,-0.0025829972814224358,qb,baseline+anthro
arm_length_in,0.0021473155901174748,qb,baseline+anthro
yard_40_dash_sec,-0.001541538084234433,qb,baseline+anthro
missing_arm_length_in,0.0014759739663674533,qb,baseline+anthro
cone_drill_sec,0.0013556292120804414,qb,baseline+anthro
missing_height_in,0.0,qb,baseline+anthro
missing_weight_lbs,0.0,qb,baseline+anthro
missing_yard_60_shuttle_sec,0.0,qb,baseline+anthro
years_experience,-0.017034424383189712,rb,baseline
rookie_flag,-0.010747024584019417,rb,baseline
draft_round,-0.007883346055822422,rb,baseline
epa_per_rush_prior,0.006281779942649696,rb,baseline
season,0.0022253807960622225,rb,baseline
draft_pick,0.0005523743113713055,rb,baseline
years_experience,-0.008282829033088628,rb,baseline+anthro
hand_size_in,0.004410023260380562,rb,baseline+anthro
yard_40_dash_sec,-0.004169563466156553,rb,baseline+anthro
missing_yard_10_split_sec,0.003455244628275895,rb,baseline+anthro
epa_per_rush_prior,0.0033892401203667946,rb,baseline+anthro
wing_span_in,-0.003146084895829412,rb,baseline+anthro
rookie_flag,-0.003029709060169321,rb,baseline+anthro
cone_drill_sec,-0.002903862849527885,rb,baseline+anthro
vert_jump_in,0.0028918752050732946,rb,baseline+anthro
missing_yard_20_split_sec,-0.0024322618022828784,rb,baseline+anthro
season,0.0023033311194554165,rb,baseline+anthro
missing_bench_press_reps,-0.002145731704433314,rb,baseline+anthro
height_in,-0.0021356191194127658,rb,baseline+anthro
missing_yard_40_dash_sec,-0.001988875906768181,rb,baseline+anthro
yard_60_shuttle_sec,-0.0017422155505706109,rb,baseline+anthro
arm_length_in,0.001552495634101369,rb,baseline+anthro
draft_round,-0.0015230140911731756,rb,baseline+anthro
missing_wing_span_in,-0.0011007952916030632,rb,baseline+anthro
weight_lbs,0.001052405473923252,rb,baseline+anthro
bench_press_reps,0.0010283632952787095,rb,baseline+anthro
missing_yard_20_shuttle_sec,0.0009346597363873545,rb,baseline+anthro
draft_pick,-0.0007248151318903503,rb,baseline+anthro
missing_yard_60_shuttle_sec,0.0006755210084181543,rb,baseline+anthro
missing_arm_length_in,0.0006739044777617234,rb,baseline+anthro
broad_jump_in,0.0006492414379997203,rb,baseline+anthro
missing_cone_drill_sec,0.0006177979380790315,rb,baseline+anthro
missing_vert_jump_in,-0.0005447996264543554,rb,baseline+anthro
missing_hand_size_in,0.0004840770919528995,rb,baseline+anthro
missing_broad_jump_in,0.0004348536712128659,rb,baseline+anthro
yard_20_shuttle_sec,0.00041899156764321137,rb,baseline+anthro
yard_10_split_sec,-0.0003231746312750783,rb,baseline+anthro
yard_20_split_sec,3.272070389956739e-05,rb,baseline+anthro
missing_weight_lbs,0.0,rb,baseline+anthro
missing_height_in,0.0,rb,baseline+anthro
epa_per_target_prior,0.1288656936020378,wr,baseline
season,-0.1045324870744645,wr,baseline
draft_round,-0.020876429647472546,wr,baseline
draft_pick,-0.0084114694065946,wr,baseline
years_experience,-0.0031629626633560134,wr,baseline
rookie_flag,0.001689837875103864,wr,baseline
epa_per_target_prior,0.1162231122019493,wr,baseline+anthro
season,-0.0877715032817511,wr,baseline+anthro
missing_hand_size_in,0.02638977600820887,wr,baseline+anthro
missing_bench_press_reps,0.021902296976613996,wr,baseline+anthro
draft_round,-0.019129530938730117,wr,baseline+anthro
missing_broad_jump_in,0.017925384876049506,wr,baseline+anthro
yard_20_shuttle_sec,-0.015305060463566134,wr,baseline+anthro
missing_wing_span_in,-0.013288571831363555,wr,baseline+anthro
yard_10_split_sec,0.011416117166760996,wr,baseline+anthro
yard_60_shuttle_sec,0.009008613371310932,wr,baseline+anthro
missing_yard_60_shuttle_sec,-0.008779203337694446,wr,baseline+anthro
years_experience,-0.008647944157819191,wr,baseline+anthro
arm_length_in,-0.008452674708846555,wr,baseline+anthro
yard_20_split_sec,0.008428548740834745,wr,baseline+anthro
draft_pick,-0.007936592844915656,wr,baseline+anthro
missing_arm_length_in,0.007693848974479008,wr,baseline+anthro
hand_size_in,0.007680080289645146,wr,baseline+anthro
vert_jump_in,0.0069094363679113886,wr,baseline+anthro
wing_span_in,0.006681881574300864,wr,baseline+anthro
missing_yard_40_dash_sec,-0.006305811170334598,wr,baseline+anthro
missing_yard_20_shuttle_sec,0.006037434430062355,wr,baseline+anthro
broad_jump_in,0.00564324935835396,wr,baseline+anthro
yard_40_dash_sec,-0.005480442166131187,wr,baseline+anthro
